Blockchain,Date,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Algorand,2022-12-17,16706,1148,1550986.317,89.61094968,3.699914457
Arbitrum,2022-12-17,60889,19341,40430047.62,663.9959207,7.991403109
Avalanche,2022-12-17,17809,5892,10901926.39,612.1582565,46.14131779
BSC,2022-12-17,510444,156858,247798372.6,485.4565293,50.28110567
Ethereum,2022-12-17,59720,786,898257946.9,11759.14996,500.785
Flow,2022-12-17,354,115,160041.0745,264.9686665,46.58809367
Gnosis,2022-12-17,1970,333,100317.765,50.92272334,2.251058375
NEAR,2022-12-17,1847,245,2659017.567,1157.100769,32.32906662
Optimism,2022-12-17,51055,14736,49785668,975.1379493,25.08315406
Osmosis,2022-12-17,14269,4256,3248204.26,227.5927873,11.531529
Polygon,2022-12-17,80950,24460,42663269.23,527.0323561,16.59437177
Solana,2022-12-17,114541,5792,10956168.06,95.57854013,3.004113449
THORChain,2022-12-17,18523,475,19402281.88,634.6214595,400.6963865
Algorand,2022-12-16,25909,1239,3873105.127,142.6558058,5.561569059
Arbitrum,2022-12-16,77462,19969,84966363.07,1096.877993,21.95726368
Avalanche,2022-12-16,23180,5923,12322987.36,531.6215427,75.35367186
BSC,2022-12-16,579017,168451,291037822.1,502.6412386,49.26075477
Ethereum,2022-12-16,68382,1082,1474303214,16266.01955,720.45
Flow,2022-12-16,447,124,178013.5923,233.3074604,54.14368691
Gnosis,2022-12-16,4601,467,245624.2434,53.38496921,1.236193317
NEAR,2022-12-16,2608,271,4119492.587,1267.926312,50.27810973
Optimism,2022-12-16,52732,14020,77860012.02,1476.523022,37.41171632
Osmosis,2022-12-16,18217,4460,6219581.691,341.3788732,28.16832496
Polygon,2022-12-16,101341,28880,84084803.23,829.7214674,29.99922969
Solana,2022-12-16,150341,6931,22774977.28,151.3327748,3.939721942
THORChain,2022-12-16,21809,454,27174595.12,779.132838,427.0120258
Algorand,2022-12-15,13011,980,802416.0524,59.48228706,3.270574672
Arbitrum,2022-12-15,69776,24403,6.54046E+11,9373508.418,9.921221269
Avalanche,2022-12-15,20015,7462,12324733.6,615.7748491,34.79536892
BSC,2022-12-15,539789,188968,233181622.1,431.9866135,35.11730335
