Blockchain,Date,DEX,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Algorand,11-12-22,Algofi,536,54,28533.34565,48.77494983,4.333335864
Algorand,11-12-22,FXDX,8,6,1366.991586,170.8739483,45.93869465
Algorand,11-12-22,Humble,80,32,18008.75045,225.1093806,48.05542566
Algorand,11-12-22,Pact,2144,67,71790.85387,32.70653935,0.01125819
Algorand,11-12-22,Tinyman,6695,918,191079.8268,28.54067615,1.818556942
Algorand,11-12-22,WAGMI,26,1,8.832180445,0.339699248,0.198790046
Arbitrum,11-12-22,1inch Network,2702,1022,3047100.163,1127.720268,15.2281788
Arbitrum,11-12-22,Camelot,339,195,228022.9746,672.6341432,10.08017994
Arbitrum,11-12-22,Fraxswap,56,23,11999.0651,214.2690196,2.528874008
Arbitrum,11-12-22,GMX,1264,960,301193.0201,238.2856172,8.694043929
Arbitrum,11-12-22,Others,5948,1645,6506689.79,1093.929016,65.73058264
Arbitrum,11-12-22,Rage Trade,42,41,1077.109764,25.64547058,8.088216028
Arbitrum,11-12-22,Sumswap,53,13,8643.438067,163.0837371,178.6745507
Arbitrum,11-12-22,SushiSwap,21844,9307,9276892.187,424.6883441,2.126707484
Arbitrum,11-12-22,Uniswap,19514,6996,11549463.86,591.8552761,0.054601767
Avalanche,11-12-22,1inch Network,824,263,1021283.967,1239.422289,160.4847125
Avalanche,11-12-22,Alpha Nodes,24,16,801296.9252,33387.37188,56728.82215
Avalanche,11-12-22,Beefy Finance,33,24,3922.293336,118.8573738,19.62781728
Avalanche,11-12-22,Chainlink,1,1,49.3086754,49.3086754,49.3086754
Avalanche,11-12-22,Cycle Finance,1,1,5.363181619,5.363181619,5.363181619
Avalanche,11-12-22,GMX,32,27,26021.50378,813.171993,51.72900187
Avalanche,11-12-22,Grape Finance,4,3,63.98027088,15.99506772,14.45139023
Avalanche,11-12-22,Hakuswap,9,9,93.42976735,10.38108526,7.210238494
Avalanche,11-12-22,Hermes Finance,1,1,1.046801813,1.046801813,1.046801813
Avalanche,11-12-22,Icecream Finance,1,1,52.12134541,52.12134541,52.12134541
Avalanche,11-12-22,Ihelp Protocol,1,1,2.36541E-05,2.36541E-05,2.36541E-05
Avalanche,11-12-22,Lydia Finance,29,5,331.6893996,11.4375655,6.206106721
Avalanche,11-12-22,Others,1727,492,700274.8485,405.4863049,120.3826089
Avalanche,11-12-22,Pangolin,993,292,207093.098,208.5529688,38.27743145
Avalanche,11-12-22,SushiSwap,6424,2319,1522888.003,237.0622669,69.47331696
Avalanche,11-12-22,Trader Joe,5134,2208,907431.438,176.7494036,28.09033311
Avalanche,11-12-22,YakSwap,111,62,106335.5264,957.977715,252.3293488
Avalanche,11-12-22,Yetiswap,47,4,321.5982271,6.842515471,4.578556609
