Blockchain,DEX,Days,Swaps,Swappers,Volume,AmountAverage,AmountMedian,Swaps/Day,Swappers/Day,Volume/Day,Swaps/Swapper,Volume/Swapper
Algorand,WAGMI,3,33,3,35.94356699,1.089199,0.187702881,11,1,12,11,12
Algorand,Humble,8,1402,162,383670.3403,273.6593012,312.1024357,175,20,47959,9,2368
Algorand,Tinyman,8,86816,4332,6074005.267,69.96412259,2.839656173,10852,542,759251,20,1402
Algorand,FXDX,8,151,29,70917.6992,469.6536371,44.99702986,19,4,8865,5,2445
Algorand,Pact,8,14618,378,2133185.123,135.0288089,4.744772697,1827,47,266648,39,5643
Algorand,Algofi,8,12880,318,579155.6102,41.35348877,5.993144787,1610,40,72394,41,1821
Arbitrum,Fraxswap,8,348,77,4326370923,12432100.35,240.1034721,44,10,540796365,5,56186635
Arbitrum,SushiSwap,8,250013,69609,8.95365E+12,35812730.89,4.021012235,31252,8701,1.11921E+12,4,128627739
Arbitrum,GMX,8,11883,4629,1.57294E+12,132368563.5,47.132002,1485,579,1.96617E+11,3,339800311
Arbitrum,Uniswap,8,198956,55934,1.10564E+13,55572189.75,0.998929184,24870,6992,1.38205E+12,4,197669049
Arbitrum,Camelot,8,3112,1211,46036172526,14793114.56,75.88397902,389,151,5754521566,3,38015006
Arbitrum,1inch Network,8,26951,7587,1.59719E+12,59262708.56,485.9199708,3369,948,1.99649E+11,4,210516576
Arbitrum,Layer2dao,3,3,1,32740757812,10913585937,29756.7047,1,0,10913585937,3,32740757812
Arbitrum,Sumswap,8,189,25,15918035.93,84222.41235,124.2254465,24,3,1989754,8,636721
Arbitrum,Others,8,73665,10174,7.63592E+12,103657349.6,649.4512045,9208,1272,9.5449E+11,7,750532599
Arbitrum,Rage Trade,8,631,500,28751226.98,45564.54355,5.689333639,79,63,3593903,1,57502
Arbitrum,Nitroshiba,1,1,1,5020065.589,5020065.589,5020065.589,1,1,5020066,1,5020066
Avalanche,Cycle Finance,6,6,1,31.7735832,5.295597201,5.334408248,1,0,5,6,32
Avalanche,Spore,1,1,1,1.42569E-05,1.42569E-05,1.42569E-05,1,1,0,1,0
Avalanche,Grape Finance,8,38,25,695.1850748,18.29434407,0.078190967,5,3,87,2,28
Avalanche,YakSwap,8,1132,270,1913269.54,1690.167438,361.6233222,142,34,239159,4,7086
Avalanche,Icecream Finance,1,1,1,52.12134541,52.12134541,52.12134541,1,1,52,1,52
Avalanche,Velox,1,1,1,0.170949458,0.170949458,0.170949458,1,1,0,1,0
Avalanche,Yieldwolf,7,18,14,13.50433728,0.75024096,0.752106966,3,2,2,1,1
Avalanche,Partyswap,2,3,2,2.044877005,0.681625669,0.013267032,2,1,1,2,1
Avalanche,1inch Network,8,10908,1839,21404010.41,1962.230511,500.0586906,1364,230,2675501,6,11639
Avalanche,Trader Joe,8,57291,21063,10061130.5,175.6145032,16.96784254,7161,2633,1257641,3,478
Avalanche,Ihelp Protocol,8,8,1,0.000182205,2.27756E-05,2.29965E-05,1,0,0,8,0
Avalanche,Steakhut,1,2,1,252.4833063,126.2416531,126.2416531,2,1,252,2,252
Avalanche,SushiSwap,8,52677,13165,17377350.79,329.8849743,56.44781261,6585,1646,2172169,4,1320
Avalanche,GMX,8,517,250,2305744.197,4459.853378,107.1808053,65,31,288218,2,9223
Avalanche,Alpha Nodes,8,283,90,14679921.65,51872.51468,69126.60633,35,11,1834990,3,163110
Avalanche,Yetiswap,8,322,17,1808.518782,5.616517958,4.18488124,40,2,226,19,106
Avalanche,Alligator,1,1,1,4.488900032,4.488900032,4.488900032,1,1,4,1,4
Avalanche,Etherstones,1,1,1,1.03E-10,1.03E-10,1.03E-10,1,1,0,1,0
Avalanche,Hermes Finance,1,1,1,1.046801813,1.046801813,1.046801813,1,1,1,1,1
Avalanche,Beefy Finance,8,247,156,57275.02921,231.8827094,19.47224911,31,20,7159,2,367
Avalanche,Radar,1,2,1,449.6412508,224.8206254,224.8206254,2,1,450,2,450
Avalanche,Lydia Finance,8,239,37,3722.952708,15.57720798,5.234647934,30,5,465,6,101
Avalanche,Pangolin,8,10624,1453,2611177.89,245.7810514,60.67967361,1328,182,326397,7,1797
Avalanche,Hakuswap,8,40,24,667.2731887,16.68182972,5.450582722,5,3,83,2,28
Avalanche,Chainlink,4,25,6,3696786.606,147871.4643,1120.886047,6,2,924197,4,616131
Avalanche,Others,8,25524,2796,20540966.66,804.7706733,136.2286115,3191,350,2567621,9,7347
BSC,Crypto Chip Token,4,5,2,3.732595962,0.746519193,0.508727682,1,1,1,3,2
BSC,Coinxpad,1,1,1,0.06942572,0.06942572,0.06942572,1,1,0,1,0
BSC,Goblin,1,1,1,9.30007E-05,9.30007E-05,9.30007E-05,1,1,0,1,0
BSC,True Bnb,1,1,1,1.24044308,1.24044308,1.24044308,1,1,1,1,1
BSC,Whenlambo,1,1,1,0.523691857,0.523691857,0.523691857,1,1,1,1,1
BSC,Wana Moon,1,1,1,2.41461E-05,2.41461E-05,2.41461E-05,1,1,0,1,0
BSC,Safuu,8,271,149,94613.51413,349.1273584,28.03012728,34,19,11827,2,635
BSC,Tripcandy,2,2,2,86.24214448,43.12107224,43.12107224,1,1,43,1,43
BSC,Kingdom Swap 2.0,1,2,2,0.976760395,0.488380198,0.488380198,2,2,1,1,0
BSC,Rmog,1,1,1,0.024686006,0.024686006,0.024686006,1,1,0,1,0
BSC,Everearn,1,3,2,792.823818,264.274606,263.7499841,3,2,793,2,396
BSC,Starship,1,1,1,398.9164232,398.9164232,398.9164232,1,1,399,1,399
BSC,Hodl,8,74,70,570.9685254,7.715790884,4.450687315,9,9,71,1,8
BSC,Devolution Metaverse,3,7,7,129.0381433,18.43402047,15.60355846,2,2,43,1,18
BSC,Face Meta,1,1,1,4.383233945,4.383233945,4.383233945,1,1,4,1,4
BSC,Metallurgy,2,3,2,2.040146752,0.680048917,0.697928284,2,1,1,2,1
BSC,Stepd,1,1,1,1.125847135,1.125847135,1.125847135,1,1,1,1,1
BSC,Safehaven Defi,1,1,1,1.132184297,1.132184297,1.132184297,1,1,1,1,1
BSC,Dyor,2,2,2,13.01328253,6.506641266,6.506641266,1,1,7,1,7
BSC,Zooswap,8,10420,812,1511631.211,145.0701738,128.5531989,1303,102,188954,13,1862
BSC,Exzocoin,1,1,1,0.727595498,0.727595498,0.727595498,1,1,1,1,1
BSC,Phoenixco,6,19,11,2.181601391,0.114821126,0.114638072,3,2,0,2,0
BSC,Loop Network,8,62,23,4881.526359,78.73429611,38.35780565,8,3,610,3,212
BSC,Standard In Gold,2,2,2,1.331796931,0.665898465,0.665898465,1,1,1,1,1
BSC,Eth Fan,1,1,1,0.00015021,0.00015021,0.00015021,1,1,0,1,0
BSC,Niob Finance,1,1,1,98.46231529,98.46231529,98.46231529,1,1,98,1,98
BSC,Shib Army,1,1,1,3.085848775,3.085848775,3.085848775,1,1,3,1,3
BSC,Crusaders Of Crypto,1,1,1,0.203052844,0.203052844,0.203052844,1,1,0,1,0
BSC,Frog Inu,3,3,2,19.03303183,6.344343943,6.983594743,1,1,6,2,10
BSC,MDEX,8,21,10,1240.62724,59.07748762,15.03641758,3,1,155,2,124
BSC,Yieldzilla,1,1,1,0.74026407,0.74026407,0.74026407,1,1,1,1,1
BSC,Metanet,1,1,1,2.945565232,2.945565232,2.945565232,1,1,3,1,3
BSC,Pancakepoll,1,1,1,3.052069891,3.052069891,3.052069891,1,1,3,1,3
BSC,Ecoin Finance,3,3,3,4.776089559,1.592029853,1.354669454,1,1,2,1,2
BSC,Genshin Floki,1,1,1,67.35191748,67.35191748,67.35191748,1,1,67,1,67
BSC,Caash,1,1,1,1.066850693,1.066850693,1.066850693,1,1,1,1,1
BSC,Dogeking,8,25,24,871.3374363,34.85349745,14.97698914,3,3,109,1,36
BSC,Spywolf,1,1,1,3.480988496,3.480988496,3.480988496,1,1,3,1,3
BSC,Safenebula,1,1,1,0.030917594,0.030917594,0.030917594,1,1,0,1,0
BSC,Zombie Inu,8,43,43,211.4395197,4.917198134,0.703219354,5,5,26,1,5
BSC,Luckyblock,8,32,31,127.16551,3.973922188,1.518386134,4,4,16,1,4
BSC,Powermade,2,3,3,23.20208908,7.734029694,8.439269372,2,2,12,1,8
BSC,Volt Inu,7,13,12,16.38670469,1.260515746,0.256512526,2,2,2,1,1
BSC,Shield Network,2,2,2,0.217323913,0.108661956,0.108661956,1,1,0,1,0
BSC,Safetesla,1,1,1,5.662754825,5.662754825,5.662754825,1,1,6,1,6
BSC,Ecole,2,2,2,0.196116378,0.098058189,0.098058189,1,1,0,1,0
BSC,Crypter,6,7,7,3.564989625,0.509284232,0.585994959,1,1,1,1,1
BSC,Scrooge Coin,2,2,2,25.0329224,12.5164612,12.5164612,1,1,13,1,13
BSC,Footballstars,1,1,1,0.144874431,0.144874431,0.144874431,1,1,0,1,0
BSC,Cryogen,2,2,2,0.529885922,0.264942961,0.264942961,1,1,0,1,0
BSC,Movey,1,1,1,0.300395523,0.300395523,0.300395523,1,1,0,1,0
BSC,Hamster,8,86,73,28.1299166,0.327092054,0.025730225,11,9,4,1,0
BSC,Ethernal Finance,2,2,2,337.0179916,168.5089958,168.5089958,1,1,169,1,169
BSC,Cake Monster,8,31,27,2497.079768,80.55096026,3.285884308,4,3,312,1,92
BSC,PancakeSwap,8,388469,59774,825081736.3,2123.93199,203.1331554,48559,7472,103135217,6,13803
BSC,Fomoeth,1,1,1,1.18E-15,1.18E-15,1.18E-15,1,1,0,1,0
BSC,Saylor Moon,4,4,3,214.4695685,53.61739211,54.07795982,1,1,54,1,71
BSC,Titano,2,2,2,710.1254437,355.0627218,355.0627218,1,1,355,1,355
BSC,Pige Inu,2,3,3,3.172381858,1.057460619,0.938298454,2,2,2,1,1
BSC,W3Swap,8,3765,1557,2794340.569,742.1887302,200.4481054,471,195,349293,2,1795
BSC,Wegro,1,1,1,0.028631323,0.028631323,0.028631323,1,1,0,1,0
BSC,Sonar Platform,1,1,1,101.0125468,101.0125468,101.0125468,1,1,101,1,101
BSC,Catcoin,8,33,25,643.9215015,19.51277277,2.26387555,4,3,80,1,26
BSC,Safemoon,8,194,106,48820.2332,251.6506866,70.42011763,24,13,6103,2,461
BSC,Orion,8,86255,27,98867457.56,1146.222915,432.1408914,10782,3,12358432,3195,3661758
BSC,Moorex,1,3,2,0.125150057,0.041716686,0.048094835,3,2,0,2,0
BSC,Biswap,8,21790,6434,12366047.32,567.5102028,85.55284486,2724,804,1545756,3,1922
BSC,Metahamster,1,1,1,2.031986963,2.031986963,2.031986963,1,1,2,1,2
BSC,Evergrow,7,10,10,51.47205184,5.147205183,1.358640693,1,1,7,1,5
BSC,Magic Birds Token,1,3,2,50.55235036,16.85078346,19.59339901,3,2,51,2,25
BSC,Urutoken,1,2,2,1.08E-09,5.41E-10,5.41E-10,2,2,0,1,0
BSC,Go Bnb,1,1,1,15.37732668,15.37732668,15.37732668,1,1,15,1,15
BSC,Plush,1,1,1,0.242887962,0.242887962,0.242887962,1,1,0,1,0
BSC,Utopia,1,1,1,0.044978921,0.044978921,0.044978921,1,1,0,1,0
BSC,Uland,2,2,2,0.147278645,0.073639323,0.073639323,1,1,0,1,0
BSC,Transhuman Coin,7,11,9,25.8867661,2.353342372,1.832179893,2,1,4,1,3
BSC,Savebee,2,2,2,3.597039276,1.798519638,1.798519638,1,1,2,1,2
BSC,Bnbback,1,1,1,68.73117734,68.73117734,68.73117734,1,1,69,1,69
BSC,Reward Hunters Token,1,1,1,2.048662808,2.048662808,2.048662808,1,1,2,1,2
BSC,Restore Truth,2,2,1,13.11292541,6.556462706,6.556462706,1,1,7,2,13
BSC,Pumpeth,4,4,4,17.95465203,4.488663007,0.385564018,1,1,4,1,4
BSC,Divewallet,1,1,1,358.7122249,358.7122249,358.7122249,1,1,359,1,359
BSC,Tarp,2,2,2,1356.309715,678.1548574,678.1548574,1,1,678,1,678
BSC,Steam Exchange,6,7,7,47.68013055,6.811447222,6.755943058,1,1,8,1,7
BSC,Corsac V2,1,1,1,5.37919E-05,5.37919E-05,5.37919E-05,1,1,0,1,0
BSC,Metacash,7,8,7,3.152162306,0.394020288,0.159240151,1,1,0,1,0
BSC,Simba Inu,3,3,3,0.008633972,0.002877991,0.00080499,1,1,0,1,0
BSC,Income Island,1,1,1,6.30430271,6.30430271,6.30430271,1,1,6,1,6
BSC,French Connection Finance,3,3,3,43.51693,14.50564333,11.93015169,1,1,15,1,15
BSC,Solar Energy,1,1,1,377.3242892,377.3242892,377.3242892,1,1,377,1,377
BSC,Metabusdcoin,1,1,1,1.467614497,1.467614497,1.467614497,1,1,1,1,1
BSC,Bitvalley,1,1,1,0.025794678,0.025794678,0.025794678,1,1,0,1,0
BSC,Moonlight Token,1,1,1,177.4300732,177.4300732,177.4300732,1,1,177,1,177
BSC,Waifer,1,1,1,3.365333421,3.365333421,3.365333421,1,1,3,1,3
BSC,Zufinance,1,1,1,0.021461847,0.021461847,0.021461847,1,1,0,1,0
BSC,Do Token,1,1,1,880.8569052,880.8569052,880.8569052,1,1,881,1,881
BSC,Moongame,1,1,1,1.264500194,1.264500194,1.264500194,1,1,1,1,1
BSC,Eroverse,3,23,19,6.108931688,0.265605726,0.209191391,8,6,2,1,0
BSC,Libero,2,2,2,106.3436882,53.17184412,53.17184412,1,1,53,1,53
BSC,Early Bird,1,1,1,1.532935486,1.532935486,1.532935486,1,1,2,1,2
BSC,Shield Coin,1,1,1,0.004245362,0.004245362,0.004245362,1,1,0,1,0
BSC,Futura Finance,8,20,2,67.04511609,3.352255804,3.682199518,3,0,8,10,34
BSC,Floki Rocket,1,1,1,0.040317977,0.040317977,0.040317977,1,1,0,1,0
BSC,Token Bank Exchange,2,2,2,4.835725053,2.417862526,2.417862526,1,1,2,1,2
BSC,FatSwap,8,3623,1828,317765.8317,87.70793036,17.16000428,453,229,39721,2,174
BSC,Rewardeum,3,4,2,0.566661092,0.141665273,0.179034144,1,1,0,2,0
BSC,Safeicarus,1,2,1,90.23434533,45.11717267,45.11717267,2,1,90,2,90
BSC,Flokimooni,4,9,4,32.92956897,3.658840997,2.781367436,2,1,8,2,8
BSC,Reflex Finance,4,4,3,973.4629692,243.3657423,123.7037411,1,1,243,1,324
BSC,Shiba Heist,1,1,1,0.026443053,0.026443053,0.026443053,1,1,0,1,0
BSC,Shibarmyzilla,1,1,1,5.206204269,5.206204269,5.206204269,1,1,5,1,5
BSC,Siamese Neko,1,1,1,0.028726098,0.028726098,0.028726098,1,1,0,1,0
BSC,Grimacecoin,4,4,4,17.50364553,4.375911382,4.410448257,1,1,4,1,4
BSC,Rougecoin,2,2,1,1.48066E-05,7.40329E-06,7.40329E-06,1,1,0,2,0
