Blockchain,Day,Hour,Swaps,Swappers,Volume,AmountAverage,AmountMedian
NEAR,1.Monday,0,61,21,10961.16347,168.6332841,35.18160369
Gnosis,1.Monday,0,129,36,8315.773389,64.46335961,3.484615247
Solana,1.Monday,0,3101,328,313008.4141,100.8728373,5.083885101
Avalanche,1.Monday,0,921,430,1436730.048,1559.967479,97.8854677
Polygon,1.Monday,0,3919,1421,3492401.127,891.1459881,30.54147373
BSC,1.Monday,0,17997,9864,11741907.9,652.4369564,56.87780555
Ethereum,1.Monday,0,2643,165,69626445.29,20210.86946,994.2
Flow,1.Monday,0,24,13,8468.937748,249.0864044,16.2149967
Osmosis,1.Monday,0,872,289,288081.0635,330.3681921,44.66900706
Arbitrum,1.Monday,0,1953,803,3794058.006,1942.682031,104.0233303
Optimism,1.Monday,0,1737,521,4713103.781,2713.358538,53.88093356
Algorand,1.Monday,0,727,83,31056.14361,41.79830903,1.903913946
THORChain,1.Monday,0,742,22,558272.943,478.7932615,399.6029162
Avalanche,1.Monday,1,715,400,329922.3207,461.4298192,40.71346088
THORChain,1.Monday,1,220,18,225428.2477,615.9241741,399.4984428
Flow,1.Monday,1,14,13,3265.391545,105.3352111,50.16670559
Arbitrum,1.Monday,1,1709,772,1833825.753,1073.04023,11.17591956
BSC,1.Monday,1,14309,8776,8158118.931,570.1389986,47.69759201
Gnosis,1.Monday,1,77,32,1575.974654,20.4672033,1.847641124
Ethereum,1.Monday,1,1908,120,30261752.85,12236.85922,518.41
Solana,1.Monday,1,918,280,142525.7001,155.2567539,11.60112045
NEAR,1.Monday,1,32,18,7468.457865,186.7114466,26.40640885
Osmosis,1.Monday,1,586,262,153154.9161,261.3565121,16.46258617
Optimism,1.Monday,1,1632,828,1737330.963,1064.541031,31.01103375
Algorand,1.Monday,1,656,83,32591.12339,48.57097376,1.904278644
Polygon,1.Monday,1,2640,1362,1080113.404,409.1338651,8.928350851
THORChain,1.Monday,2,740,29,638151.4392,529.5862566,412.0162788
Flow,1.Monday,2,35,10,16845.19644,221.6473216,40.75445338
Arbitrum,1.Monday,2,2761,1040,3551798.663,1286.41748,37.53340782
Optimism,1.Monday,2,2348,836,4674759.913,1990.953966,41.80367332
Ethereum,1.Monday,2,2993,199,48796432.01,12105.29199,854
Avalanche,1.Monday,2,1389,542,2324560.173,1673.54944,75.18511968
Polygon,1.Monday,2,4520,1729,4554216.337,1007.569986,50.46039482
Gnosis,1.Monday,2,131,36,8489.438069,64.80487076,1.261514163
NEAR,1.Monday,2,212,49,181273.9707,654.4186669,21.61794799
