Blockchain,Days,Swaps,Swappers,Volume,AmountAverage,AmountMedian,Swaps/Day,Swappers/Day,Volume/Day,Swaps/Swapper,Volume/Swapper
Algorand,8,113456,4675,8871622.669,75.71646655,3.521562545,14182,584,1108953,24,1898
Arbitrum,8,542125,110065,3.08993E+13,56996555.72,14.8992227,67766,13758,3.86241E+12,5,280736454
Avalanche,8,162528,37345,93330416.73,574.2420797,44.05336567,20316,4668,11666302,4,2499
BSC,8,3962236,760521,1990917027,502.4731053,43.4514653,495280,95065,248864628,5,2618
Ethereum,8,439368,3530,8599763028,14968.68331,597.997774,54921,441,1074970379,124,2436193
Flow,8,2445,640,929728.7323,230.6446868,49.82721947,306,80,116216,4,1453
Gnosis,8,20269,1475,1101017.205,54.32025286,1.495013652,2534,184,137627,14,746
NEAR,8,13990,1174,21032911.46,1229.275948,34.56650864,1749,147,2629114,12,17916
Optimism,8,406727,89098,385086351.9,946.7931852,21.99475344,50841,11137,48135794,5,4322
Osmosis,8,123468,19136,48997085.93,396.7182642,18.03577612,15434,2392,6124636,6,2560
Polygon,8,666937,127804,413458195.1,619.9359086,9.753169284,83367,15976,51682274,5,3235
Solana,8,989829,26953,96825461.43,97.75846825,2.002362151,123729,3369,12103183,37,3592
THORChain,8,116085,2397,132604315.6,726.4636486,421.5402058,14511,300,16575539,48,55321
