Blockchain,Type,Days,Swaps,Swappers,Volume,AmountAverage,AmountMedian,Swaps/Day,Swappers/Day,Volume/Day,Swaps/Swapper,Volume/Swapper
Algorand,Stablecoins,8,32211,970,3984979.571,121.1681942,8.579952721,4026,121,498122,33,4108
Algorand,Other Tokens,8,50417,1885,2111240.076,41.2673979,2.139231064,6302,236,263905,27,1120
Algorand,Native Coin,8,34157,3106,3144750.336,92.06752161,3.575371221,4270,388,393094,11,1012
Arbitrum,Other Tokens,8,90301,39448,43137748.69,477.7106421,0.128676655,11288,4931,5392219,2,1094
Arbitrum,Stablecoins,8,156287,45525,1.86067E+12,11905486.81,176.2569029,19536,5691,2.32584E+11,3,40871451
Arbitrum,Native Coin,8,319164,83444,2.90385E+13,90983160.59,7.581909206,39896,10431,3.62982E+12,4,348000449
Avalanche,Other Tokens,8,7962,2605,4991113.797,626.8668422,123.6347384,995,326,623889,3,1916
Avalanche,Native Coin,8,96005,25983,29246441.3,304.6345638,28.60558061,12001,3248,3655805,4,1126
Avalanche,Stablecoins,8,55945,16314,60417779.4,1079.949583,100.3606364,6993,2039,7552222,3,3703
BSC,Stablecoins,8,1878426,473097,1236248569,658.1300348,50.20160865,234803,59137,154531071,4,2613
BSC,Native Coin,8,2017195,398176,581300941.5,288.1729042,36.79782762,252149,49772,72662618,5,1460
BSC,Other Tokens,8,89620,32311,80896782.58,902.6643894,50.63549507,11203,4039,10112098,3,2504
Ethereum,Stablecoins,8,120855,1836,4625579835,34590.75727,1094.6,15107,230,578197479,66,2519379
Ethereum,Native Coin,8,214882,1525,2330683368,10308.88103,574.9814295,26860,191,291335421,141,1528317
Ethereum,Other Tokens,8,199159,1958,1718361215,7902.000904,452.95,24895,245,214795152,102,877610
Flow,Other Tokens,8,379,49,37465.82227,98.85441232,60.0138436,47,6,4683,8,765
Flow,Native Coin,8,1080,431,270526.4827,244.5989897,32.57765003,135,54,33816,3,628
Flow,Stablecoins,8,1973,594,660572.7475,242.4120174,49.94003242,247,74,82572,3,1112
Gnosis,Stablecoins,8,2322,280,100175.6264,43.14195796,0.995153655,290,35,12522,8,358
Gnosis,Other Tokens,8,17571,1339,1033612.573,58.82491453,1.752226193,2196,167,129202,13,772
NEAR,Native Coin,8,5506,840,2430211.687,436.2253971,60.82407128,688,105,303776,7,2893
NEAR,Other Tokens,8,4143,280,14119437.43,3269.14504,1.700473642,518,35,1764930,15,50427
NEAR,Stablecoins,8,5902,617,4719628.334,665.5800781,39.86705367,738,77,589954,10,7649
Optimism,Stablecoins,8,266318,74599,317633588.2,1192.685392,23.43848176,33290,9325,39704199,4,4258
Optimism,Other Tokens,8,45516,16634,38848004.05,853.5021541,3.078126132,5690,2079,4856001,3,2335
Optimism,Native Coin,8,91398,45475,45189999.38,494.4309435,32.67079819,11425,5684,5648750,2,994
Osmosis,Native Coin,8,35685,5769,5759804.284,161.280326,9.73806349,4461,721,719976,6,998
Osmosis,Other Tokens,8,56817,13590,16446482.56,289.4641139,15.9062169,7102,1699,2055810,4,1210
Osmosis,Stablecoins,8,22266,3851,13493681.69,606.021813,94.69522,2783,481,1686710,6,3504
Polygon,Other Tokens,8,280252,73497,136656301.8,487.6193634,0.916414311,35032,9187,17082038,4,1859
Polygon,Stablecoins,8,418048,86024,285605453.7,683.1881835,20.31317372,52256,10753,35700682,5,3320
Solana,Stablecoins,8,725830,14083,55896192.93,77.00642672,1.001244496,90729,1760,6987024,52,3969
Solana,Native Coin,8,170303,13788,22272437.49,130.7812399,15.96395325,21288,1724,2784055,12,1615
Solana,Other Tokens,8,123966,8137,15563429.53,125.4629622,12.72300622,15496,1017,1945429,15,1913
THORChain,Native Coin,8,90390,2224,66164899.2,720.2405617,410.1996283,11299,278,8270612,41,29750
THORChain,Other Tokens,8,68615,1924,50543507.06,736.6247476,417.3327391,8577,241,6317938,36,26270
THORChain,Stablecoins,8,29201,329,17805834.8,609.7679806,428.679583,3650,41,2225729,89,54121
